Commit id,Bugzilla bug id
0ac6a4ddb230533230ec21afa06125a67189d768 ,344382
7624b813def465b75e15f94578b07eedde65f943 ,342086
670febf5997ef2b0316bbd8e3c15fbf2bff90a58 ,345324
149081d946c3a89d5680caeef390f95e88e882c3 ,345056
e251a5810d22e99bbf2af15c607974c90557df78 ,345056
452dad0a1eddffaf3b7f5ac265c3978ade84045d ,342367
fd4666281fd0f0dd95d20cc8ca8d1bdd0efaa457 ,339470
1c005a4964ef8a7132e554eabbc7bdd5a91c77bc ,343008
79dc8e94c47053b685db395227a58af530f29864 ,341886
f269958778a9a8069715ea3517d0b54437f39d61 ,340097
8967c23bd9ad89aa97613c0d03da60605fc3a11f ,342040
74e62d0fb5b85f9ca822cafda26ef3b401b8aa4b ,339448
786a92a3ee27eb29cfbd4f8456a0299336d76358 ,339470
a88e5d2e3dcc1a46f92c8e523c7eef42c972705f ,339448
673d9d6d3783fc00bec202b5ef1feb1009c1dca0 ,339791
e45640af5b894f1ab082ad404f4733eda2f3acfb ,339635
416ec8340bbe29f7ef1ae583173cf60939eb3746 ,326432
f60f55e5b22bee21572bdb4ba1c2289b8dfa65e3 ,336655
7f0b86d3bf0589c39d21413867ef9e067e51ba9f ,338612
168ca0ecc4ba50f4d5a5a51bb1fb27119a6f4be6 ,333075
ba8aaff78aadbc9f6e833e03fa64552e09bbc532 ,338286
c7a25dc39530059036063865132ee6a8c2e01625 ,337908
07f35f2703b04a99fb7c79e7bc02ca4e31bbb9dc ,265348
52035af5342d40a63a8f5f38723be82c7ef0d078 ,333075
b8f194f07c3b0f07f01a2c5ad49527907d54e633 ,283200
5345a594f69d354e61d6597cc36323ba78f2fa01 ,283200
8dfd47b8f0599da36205d5af7c517ec8d77a7291 ,329164
866ae0d3cba2b4427ca85d6a072759419d222b3d ,335272
164b4ed1f5a1332d1022a648ca0c14c276ed1d89 ,335097
aab530b8ef016f32097a61f5886b3dcda7ffce40 ,199283
bdd54def1244f14a196f50b4d7f061c97d9bcc54 ,333779
460c8f5d08e5eac9412e65b7303d68fbd0fd7528 ,333075
4fb4f49101946473a6149349dc4c767badc8f813 ,333779
db9744deed061c7bc9b23390a28ea0ba146e451f ,333779
709f7bb411d187d839a693655baee072f10df570 ,333213
325a69f9a8f688d318dde26774990a2bd79024c6 ,331626
e6167f6fbfdfd2424dbaed4aa473dd4545d14933 ,329164
25393f32d37cc6b1116edba849b1faa4bd5d3766 ,331248
253b09ae4d98ce375753e49d30cc2e8041ffa981 ,331167
eebaeea3d6af0a65a84015095abb09d62a758731 ,324349
05fd25baafb925935561e10bf7dd4ee54529a27a ,329705
7812a9f8ebde71fdf0d48a352d4c1056e5322ef4 ,329163
8a96ea5b20d9357aaef3752ba70e7ee6062223d2 ,320042
55f7ce8d74a2ca38d4c386e8d7d574b39659e3fa ,326216
45dff7f882a95fa15234ca32f7a29de8772521b1 ,325497
